	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
я	7583	34	25	37612	4184	0	0	60	6	1	0	55	23	47	22	0	83490	0	5	0	25178	0	0	24	0	78	38	0	2	2	31	6	0	0	125	52	44	0	0	38	3615	9128	912	24	0	3473	0	4464	68706	0	0	0	8884	0	35	41409	0	0	7679	30118	0	20246	0	86910	87035	38	3	38494	1	2131	198	415	59	0	0	0	46	1160	25	63	21	18766	0	91358	0	13140	0	54	0	31797	0	19	42674	14573	2356	21317	0	97578	0	0	0	1	1	0	59671	87	48	0	0	4	2	2	1060	38829	0	0	2	0	105722	0	82122	529543	49	0	0	784	198	19828	12	0	0	5859	0	12	6177	2	1	14	71324	0	0	8	10	0	0	40742	19	1	38	4078	4527	0	236	1786	0	6291	19	0	27827	44
ô	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	80	0	0	0	1	20	0	0	0	0	0	0	0	0	20	30	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	23	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
w	7	0	0	0	1	0	0	0	0	0	0	2	29	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	37	19	0	0	1	1	0	0	0	51	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	18	0	0	0	1	0	0	0	0	0	0	4	12	0	0	0	0	0	1	0	0	0	0	53	0	1	0	0	0	0	4	0	0	0	0	0	1	2	87	0	14	18	1	1	3	0	0	0	3	0	0	0	9	59	0	0	2	0	76	0	5	0	0	1	0	0	0	0	0	34	1	0	1	9	53	0	0	0	22	0	2	2	0	0	0	1	0	0	26	0	0	0
]	174	0	4	12	43	0	0	2	1	0	0	5	3	2	0	0	177	0	0	0	118	0	0	0	0	2	3	0	0	0	2	2	0	0	9	4	0	0	0	16	3	1	18	0	1	2	0	9	250	0	0	0	4	0	3	131	0	0	1	71	0	75	0	178	391	0	0	413	0	12	4	19	4	0	0	0	0	38	0	7	1	67	0	208	0	23	0	0	0	91	0	2	198	28	34	44	0	482	0	0	0	0	0	0	65	6	3	0	2	3	1	0	5	101	0	0	0	0	374	0	601	4515	0	0	0	30	14	75	1	0	0	5	0	1	8	0	0	0	342	0	0	2	0	0	0	196	0	0	1	10	521	0	0	10	0	404	3	0	108	4
ò	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
*	35	6	1	1	15	0	0	1	0	0	0	5	0	1	0	0	88	0	0	0	21	0	0	11	0	727	7	0	0	0	2	4	0	0	11	4	0	0	0	1	2	3	13	1	1	18	0	6	113	0	0	0	1	0	3	66	0	0	2	38	0	37	0	118	173	0	0	161	0	6	3	17	3	0	0	0	0	30	0	27	3	50	0	91	0	9	1	0	0	57	0	4	87	13	0	12	0	199	0	0	0	0	0	0	26	1	6	0	0	0	1	0	2	38	0	0	1	0	122	0	373	1489	0	0	0	15	2	24	0	0	0	6	0	0	6	0	0	1	73	0	0	2	2	0	0	131	1	0	5	33	45	0	1	0	0	0	6	0	49	0
5	138	147	309	1	34	0	0	0	3	0	0	146	1	0	99	0	131	0	0	0	46	0	0	595	0	11	162	0	0	0	11	5	0	0	163	130	16	0	3	2	3	1	263	0	1	4	0	1	178	0	0	0	20	0	148	66	0	0	14	39	0	52	0	227	122	0	0	396	0	20	158	260	7	0	0	0	0	47	0	1	3	317	0	108	0	21	1	0	0	53	1	2	107	12	126	23	1	290	0	0	0	0	0	0	82	1	1	13	2	5	0	0	2	89	0	0	0	0	144	0	412	2356	0	0	0	12	8	41	4	0	0	0	0	0	8	0	0	12	147	0	0	0	3	0	0	127	3	0	1	51	53	0	0	0	0	189	1	0	92	120
θ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ó	0	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	1	0	0	9	0	0	3	11	0	12	0	13	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	24	0	3	0	0	0	4	0	1	5	15	1	23	0	26	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	9	0	0	0	0	20	0	11	140	0	0	0	0	1	2	0	0	0	1	0	0	19	0	0	0	13	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	6	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
