	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
8	157	488	620	2	33	0	0	0	1	0	0	394	1	0	93	0	98	0	0	0	31	0	0	514	0	25	484	0	0	0	0	1	0	0	585	522	15	0	2	3	2	4	609	0	1	0	0	3	163	0	0	0	18	0	340	68	0	0	6	25	0	50	0	212	117	0	0	874	0	11	455	780	3	0	0	0	0	42	0	5	3	744	0	111	0	19	0	0	0	58	0	9	97	14	131	21	2	210	0	0	0	0	0	0	46	2	6	6	0	3	0	0	2	85	0	0	1	0	109	0	426	3322	0	0	0	5	0	46	0	0	0	3	0	0	8	0	0	28	141	0	0	0	20	0	0	115	1	0	0	44	67	0	0	9	0	426	2	0	81	366
1	348	1310	1595	3	43	0	0	2	13	0	0	1234	2	0	213	0	145	0	3	0	78	0	0	1546	0	31	1396	0	0	0	7	4	0	0	1662	1789	63	0	0	61	7	1	428	1	4	5	0	3	299	0	0	0	15	0	1193	130	0	0	31	41	0	86	0	319	198	0	0	688	0	36	3096	1620	0	0	0	0	1	75	0	8	2	632	0	164	0	18	0	0	0	77	0	8	169	19	194	23	1	396	0	0	0	0	0	1	120	6	8	2	1	2	0	0	3	195	0	0	0	0	200	0	715	4338	0	0	0	13	27	76	1	0	0	2	0	0	11	0	0	12	222	0	0	6	4	0	0	175	4	0	2	97	74	0	0	8	0	237	11	0	124	1365
x	52	5	7	1	13	0	0	923	0	2	0	9	46	1	0	0	99	0	5	0	29	0	0	2	0	1	4	0	0	0	90	13	0	0	19	5	0	2	0	75	2	4	14	0	22	1	0	4	199	0	0	0	2	0	6	50	0	0	6	21	0	31	0	131	48	0	0	401	0	1	1	28	886	2	0	0	0	12	0	54	75	19	2	64	0	18	10	0	0	41	5	26	108	13	4	9	0	148	1	0	0	0	0	0	35	47	111	0	4	13	13	2	15	45	0	0	10	0	136	0	98	1218	0	0	0	2	2520	37	7	0	0	28	0	7	3	0	0	61	97	1	0	49	48	0	0	94	48	0	55	5	23	0	0	7	0	44	61	0	63	1
ê	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	90	0	0	3	0	0	0	0	0	0	0	0	0	0	8	26	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	63	0	0	0	0	25	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0
ï	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
є	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ъ	4	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	3095	0	0	0	4268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	4	1409	0	0	0	473	0	0	1201	0	0	0	1304	0	0	0	2627	1463	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	30	0	1044	0	618	0	0	0	21	0	0	93	529	0	13	0	114	0	0	0	0	0	0	623	0	0	0	0	0	0	0	1	146	0	0	0	0	2565	0	29	140	0	0	0	0	0	4	0	0	0	3	0	0	24	0	0	0	1222	0	0	0	0	0	0	2	0	0	0	2	0	0	10	1	0	0	0	0	72	0
«	100	2	4	51	536	0	0	41	0	0	0	3	49	0	0	0	3738	0	42	0	768	1	3	0	1	0	4	0	9	0	78	32	0	0	6	3	0	1	0	131	128	119	1	1	5	1	0	5	2673	0	0	0	151	0	5	2205	0	0	311	1058	0	1203	0	3025	1919	0	9	39	6	120	1	8	2	0	0	0	30	0	0	0	46	894	1	3388	0	516	3	4	0	1810	4	83	2092	488	79	729	0	5649	2	0	0	0	0	0	1727	84	180	0	3	34	15	11	1	1466	0	0	13	0	3276	1	833	3272	0	0	0	0	102	1366	21	0	0	93	0	10	320	0	0	52	4406	0	0	79	68	0	0	2405	64	0	33	0	13	0	28	122	0	0	90	0	2578	1
„	1	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	28	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	7	4	0	0	0	0	0	0	79	0	0	0	4	0	0	49	0	0	6	32	0	28	0	95	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	82	0	20	0	12	0	35	0	0	43	7	0	10	0	135	0	0	0	0	0	0	59	0	0	0	0	1	0	0	0	36	0	0	0	0	92	0	9	72	0	0	0	0	1	39	0	0	0	0	0	0	5	0	0	1	102	0	0	1	1	0	0	78	0	0	1	0	0	0	0	0	0	1	1	0	60	0
[	10	555	481	1	20	0	0	0	0	0	0	798	1	0	0	0	96	0	0	0	23	0	0	1598	0	10	595	0	0	0	1	0	0	0	1222	528	0	0	0	1	4	1	3	0	0	1	0	0	81	0	0	0	5	0	617	59	0	0	4	35	0	37	0	86	67	0	0	35	0	7	514	1545	0	0	0	0	0	3	0	0	0	15	0	88	0	11	0	0	0	34	0	0	66	12	0	15	0	178	0	0	0	0	0	0	59	0	4	0	0	0	0	0	30	42	0	0	0	0	86	0	28	301	0	0	0	0	0	18	0	0	0	2	0	0	9	0	0	2	102	0	0	1	0	0	0	79	0	0	0	0	0	0	0	4	0	5	0	0	68	506
c	40	0	0	1	1	0	0	117	0	0	3	28	187	1	0	0	13	0	15	0	2	1	16	3	0	1	0	0	0	0	551	41	0	0	23	1	0	72	0	973	0	0	18	0	172	2	0	30	8	0	0	1	1	0	1	5	0	0	4	6	1	2	0	3	19	0	0	117	43	0	4	18	8	2	0	0	0	0	0	97	147	1	5	10	0	3	146	0	2	1	51	620	8	1	24	2	0	4	47	0	0	1	1	0	3	856	2462	0	24	1461	145	96	20	5	0	0	71	0	2	1	212	1305	0	1	1	4	728	0	75	0	0	65	0	223	0	2	0	783	12	1	0	542	937	0	0	3	833	0	321	9	2	0	0	32	0	3	1530	0	3	1
г	6180	5	1	4576	1160	0	0	11	4	0	0	16	6	12	4	1	51886	0	9	0	26715	0	0	24	0	46	10	0	0	0	8	2	0	0	36	7	12	0	0	14	1943	1101	488	10	0	1950	0	2151	61725	0	0	0	4283	0	11	77299	0	0	7409	21196	0	18344	0	42556	53910	2	0	20111	3	5098	9	105	28	0	0	0	8	386	15	40	12	7835	0	28084	1	6661	1	26	0	47993	0	8	12946	5230	1152	6123	0	363870	2	0	0	0	1	0	83711	17	6	3	2	2	1	0	338	23977	0	1	2	0	53993	0	39898	269776	2	0	0	356	28	8445	5	0	0	2924	0	190	5486	1	0	4	121408	0	0	2	1	0	0	26110	5	0	15	2098	993	0	52	785	0	1170	5	0	64293	5
â	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	0	0	5	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
т	17642	87	34	271372	10409	0	0	34	7	0	0	87	14	41	7	1	356903	0	12	0	125757	0	0	60	6	102	68	0	122	0	49	10	1	0	157	36	58	0	0	54	12003	6418	1516	52	4	7498	0	13736	205995	0	0	0	20416	0	81	50851	0	0	29975	21373	0	61673	0	148145	263034	12	14	66616	0	3904	41	381	75	0	0	0	606	1772	76	118	32	48040	0	121529	2	26508	0	96	0	108955	5	45	121392	29021	5313	103361	0	650969	10	0	45	1	5	0	175310	118	36	4	0	6	9	0	1981	106311	0	0	12	0	180355	0	169278	894763	473	0	0	983	201	48974	19	0	0	13727	0	30	19990	4	0	17	313907	2	0	27	7	0	0	80446	32	0	44	7243	5361	0	645	3801	0	5764	23	1	220888	31
‑	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
х	2311	14	9	6758	985	0	0	34	3	0	0	22	7	13	2	1	31601	0	3	0	13797	0	0	3	0	30	11	0	0	0	15	2	0	0	28	5	6	0	0	19	537	983	248	13	0	711	0	799	22453	0	0	0	4425	0	13	33894	0	0	2499	6816	0	7493	0	19490	43930	0	9	10522	0	709	7	67	35	0	0	0	38	352	10	34	6	4494	0	36290	0	3423	0	12	0	19618	1	3	8235	6127	465	4179	0	114361	0	0	0	0	0	0	29966	32	8	0	0	4	2	0	257	10878	0	0	1	0	23627	0	24685	137810	0	0	0	226	64	8593	4	0	0	1726	0	10	1759	0	0	2	48754	0	0	3	2	0	0	15068	6	0	6	1242	972	0	40	553	0	1030	9	0	27336	12
#	0	45	1	0	0	0	0	0	0	0	0	2304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	2344	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
“	4	0	0	0	8	0	0	0	0	0	0	4	0	1	0	0	18	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	7	1	0	0	0	10	47	0	0	0	2	0	1	20	0	0	1	10	0	11	0	36	62	1	0	126	0	0	1	4	0	0	0	0	0	4	15	4	0	10	0	37	0	4	0	0	0	8	0	0	19	0	7	2	0	50	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	12	0	0	0	0	43	0	128	503	0	0	0	10	0	13	0	0	0	9	0	0	3	0	0	1	36	0	0	1	0	0	0	37	0	0	1	6	3	0	0	19	0	74	0	0	12	0
î	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
у	8409	30	19	25567	2806	0	0	50	2	0	0	26	7	43	4	2	146636	0	7	0	24409	0	0	13	0	96	23	0	4	0	31	3	0	0	72	15	26	0	0	50	5418	13143	819	21	2	3457	0	3520	73864	0	0	0	39174	0	35	90493	0	0	18512	24418	0	42349	0	108097	121415	10	6	36215	1	2180	16	110	97	0	0	0	81	1042	20	91	18	56077	0	136694	0	22576	2	32	0	38203	2	23	76637	62631	2133	28915	0	107481	4	0	0	0	0	0	98749	78	12	1	0	3	1	1	813	71977	0	0	3	0	90700	0	74954	382608	5	0	0	572	105	49276	11	0	0	5331	0	41	41111	2	0	6	144671	0	0	6	7	0	0	51213	4	0	16	3720	3558	0	230	1596	0	4754	19	0	65497	15
é	6	3	0	0	1	0	0	26	0	0	0	4	61	2	0	0	0	0	7	0	1	68	0	0	0	1	1	0	0	0	88	34	0	0	4	0	0	4	0	133	0	0	5	10	0	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9	4	0	0	30	0	0	1	13	0	1	1	0	0	0	0	33	63	0	3	9	0	0	0	0	0	0	69	86	1	0	5	0	0	3	0	0	0	0	6	0	0	103	183	0	0	13	16	3	1	2	0	0	5	0	9	0	43	248	0	0	0	2	119	2	23	0	0	10	0	2	0	0	0	124	1	0	0	67	209	0	0	2	95	0	48	2	1	0	0	3	0	6	58	0	0	0
n	160	26	9	1	6	0	0	324	0	7	1	26	1308	8	0	1	54	0	99	0	17	2	35	3	0	15	27	0	0	0	512	344	0	0	146	7	0	30	0	1462	6	1	43	13	330	24	0	107	56	0	0	1	2	0	21	30	0	0	16	12	0	23	0	62	91	0	0	495	44	1	17	77	23	11	1	0	1	2	0	413	1250	12	2	40	0	9	174	1	3	27	101	1330	44	2	85	11	0	64	194	0	0	0	10	0	9	589	4252	0	46	518	163	64	53	19	0	0	370	0	51	0	1190	6463	0	0	3	16	1595	25	200	0	0	246	0	206	4	0	0	2167	55	0	0	847	1103	0	0	52	1950	0	505	35	40	1	0	110	0	63	1399	0	24	8
к	18286	43	12	16558	3374	0	0	31	4	0	0	195	8	27	9	2	114505	0	5	0	29256	2	0	31	0	98	44	0	3	0	31	2	0	0	218	24	44	0	0	46	4650	1338	741	58	2	2636	0	4587	67709	0	0	0	13683	0	55	46382	0	0	45060	65124	0	21210	0	62101	175916	6	16	33034	0	3517	34	313	59	0	0	0	26	509	13	116	17	44589	0	96677	0	16650	0	51	0	94493	3	20	96344	25177	1885	30984	2	403724	0	0	0	0	1	0	71236	83	27	0	0	6	3	2	761	75622	0	0	4	0	110761	0	76157	470023	2	0	0	636	74	27531	10	0	0	6633	0	25	7527	5	0	21	355642	0	0	3	7	0	0	35603	11	0	16	3733	2354	0	209	1899	0	2816	12	0	102417	23
ж	1286	2	3	11999	1258	0	0	3	1	0	0	7	4	4	1	0	157851	0	1	0	4960	0	0	2	0	10	7	0	0	0	5	1	0	0	7	1	5	0	0	6	745	5772	113	7	0	990	0	1836	20995	0	0	0	3786	0	4	35950	0	0	6775	10787	0	5126	0	25722	83050	1	14	6978	0	162	1	22	3	0	0	0	3	82	0	10	3	3949	0	41535	0	2348	0	7	0	21416	1	3	14022	1548	660	12798	0	36845	0	0	0	0	0	0	43718	14	4	2	0	1	1	0	134	12731	0	1	0	0	94099	0	20863	135583	1	0	0	70	8	3038	1	0	0	1741	0	4	3318	0	0	2	74989	0	0	1	3	1	0	6668	3	0	5	895	374	0	261	347	0	358	2	0	5891	0
…	41	29	34	32	493	0	0	54	0	0	2	43	14	1	0	0	2034	0	14	0	1360	0	0	4	0	7	29	0	0	0	30	2	0	0	78	33	15	0	0	48	34	30	12	3	2	0	0	20	2084	0	0	0	77	0	39	1508	0	0	32	509	0	643	0	1651	1982	2	0	70	2	129	34	114	35	0	0	0	2	198	4	165	31	522	0	2187	0	368	2	4	0	1252	0	32	1247	168	435	551	0	4669	2	0	0	0	0	0	811	32	65	0	1	12	8	12	32	798	0	0	5	0	3755	0	339	27457	0	0	0	456	71	603	5	0	0	23	0	13	89	1	0	17	3528	0	0	22	7	0	0	1756	12	0	9	5	1467	0	6	656	0	2817	44	0	994	23
ы	3111	17	10	16840	2343	0	0	34	6	0	0	38	8	45	8	1	80307	0	5	0	16758	0	2	18	0	64	15	0	0	0	16	7	0	0	66	16	44	0	0	18	2058	1849	499	18	0	1399	0	2790	65075	0	0	0	5244	0	19	26594	0	0	52594	13075	0	20612	0	57835	61504	6	1	21431	1	1380	81	181	76	0	0	0	43	476	15	75	25	15732	0	52169	0	36323	0	32	0	20595	0	28	31865	8299	1509	10559	0	80916	2	0	0	0	4	0	109953	39	10	1	0	3	3	1	583	58556	0	0	3	0	52022	0	60930	384396	7	0	0	475	73	19509	5	0	0	3656	0	7	20245	0	0	4	85874	0	0	8	3	0	0	32117	15	0	13	2615	2213	0	50	1235	0	2398	12	0	29813	5
°	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
о	33801	59	73	116980	15629	0	0	76	13	1	0	121	36	89	22	3	505066	1	17	0	120984	1	1	55	0	234	94	0	11	2	100	13	0	0	262	55	105	0	2	135	26744	28157	2011	78	3	9670	0	12066	458833	0	0	0	48293	0	74	324539	0	1	164662	99423	0	197793	0	405631	415371	14	48	90495	3	13477	92	445	191	0	0	0	5327	2653	93	218	68	212967	0	523248	1	51121	4	101	0	170503	3	78	220096	121848	5816	117455	0	698976	6	0	51	0	7	0	416265	223	105	12	2	15	10	10	2178	316720	0	3	15	0	558316	0	225916	1518861	508	0	2	1696	397	155282	25	0	0	16513	0	100	72138	5	0	45	420568	1	0	28	24	0	0	167859	55	1	100	9979	8205	0	992	4080	0	8831	54	0	433498	38
z	94	3	2	0	1	0	0	119	0	0	0	3	54	0	0	0	2	0	11	0	0	0	21	1	0	1	5	0	0	0	56	14	0	0	11	5	0	0	0	138	0	0	2	0	9	1	0	11	3	0	0	0	0	0	1	1	0	0	15	0	0	1	0	5	7	0	0	18	8	0	1	12	0	0	0	0	0	0	0	38	35	4	0	3	0	1	7	1	0	0	2	56	0	0	7	0	0	7	16	0	0	0	0	0	1	60	170	0	4	15	22	3	4	3	0	0	26	0	4	1	110	555	0	1	0	0	70	2	18	0	0	26	0	3	0	0	0	39	11	0	0	95	83	0	0	3	31	0	52	1	3	0	0	11	0	1	274	0	2	0
ë	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
̀	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	3	1	0	2	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	2	5	0	4	0	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	0	0	0	0	13	0	3	58	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3	0
`	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	9	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
à	11	1	0	0	0	0	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	39	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	0	3	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	4	11	1	0	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	3	5	5	0	0	0	0	5	0	0	0	2	127	0	0	0	0	8	0	5	0	0	1	0	7	0	0	0	7	0	0	0	12	5	0	0	0	7	0	8	0	0	0	0	0	0	0	24	0	0	0
½	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
л	5334	21	8	199931	5854	0	0	67	4	0	0	44	17	31	6	1	274212	0	6	0	124746	0	2	64	0	83	30	0	4	0	49	8	0	0	86	20	47	0	0	44	22723	4408	939	77	1	8572	0	6966	138601	0	0	0	49756	0	31	78910	0	1	19981	40455	0	61088	0	196674	333625	3	28	46768	2	3152	21	234	153	0	0	1	51	1487	30	94	30	41100	0	100356	1	13457	1	41	0	88085	2	31	109919	37746	2800	61094	0	398442	4	0	2	9	0	0	47374	139	31	0	1	15	1	2	1201	46223	0	1	7	0	219727	0	100232	661218	3	0	0	616	135	57165	8	0	0	6597	0	26	47269	7	0	17	348549	0	0	10	12	0	0	51576	20	0	50	5643	4646	0	617	1747	0	4232	25	0	23744	10
m	395	3	3	0	1	0	0	93	0	3	0	4	571	5	0	0	14	0	37	0	1	0	7	0	0	71	4	0	0	0	766	110	0	0	133	2	0	19	0	2780	3	0	23	2	170	7	2	48	19	0	0	0	0	0	3	3	0	0	6	10	0	1	0	10	12	0	0	193	22	4	3	27	22	26	1	0	0	2	0	164	341	3	0	8	0	1	141	0	4	8	56	1835	12	1	29	2	0	27	15	0	0	0	5	0	4	1095	3177	0	33	83	43	47	26	3	0	0	39	0	9	0	486	2795	0	0	0	1	1670	2	182	0	0	89	0	69	12	0	0	829	25	0	1	307	852	0	0	11	1323	0	390	12	5	0	0	36	0	6	1303	0	5	2
e	378	62	26	0	27	0	0	994	1	7	1	148	1761	25	0	0	109	0	318	2	40	3	58	28	0	22	80	0	0	0	2802	450	0	0	246	63	1	23	0	2799	2	6	95	45	330	26	1	228	162	0	0	0	16	0	82	46	0	0	9	60	0	61	0	136	177	1	0	984	87	7	65	329	385	13	1	0	0	19	1	1169	1528	34	8	87	0	15	90	4	1	60	109	4001	79	14	189	24	0	178	706	0	0	0	38	0	30	1754	4777	0	47	499	494	113	141	58	0	0	714	0	125	1	2240	16495	1	0	2	50	2214	32	742	0	0	530	0	328	21	0	0	3855	138	1	1	2427	3946	0	0	131	4466	0	1277	89	162	0	1	255	0	138	2076	0	52	61
№	2	10	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	21	8	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	6	6	0	0	0	2	0	1	0	1	2	0	0	4	0	0	2	41	0	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	23	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	4
y	26	0	0	0	0	0	0	10	0	0	0	1	12	0	0	0	4	0	0	0	1	0	1	0	0	0	2	0	0	0	23	13	0	0	4	0	0	2	0	99	0	0	0	1	8	0	0	7	1	0	0	0	0	0	1	3	0	0	0	2	0	1	0	3	3	0	0	6	3	0	0	4	7	0	0	0	0	1	0	10	17	1	0	2	0	0	4	0	0	0	5	62	1	0	3	0	0	4	49	0	0	0	1	0	0	12	136	0	5	6	3	0	1	3	0	0	2	0	1	0	60	255	0	1	0	1	21	0	5	0	0	9	0	1	0	0	0	24	2	1	0	22	23	0	0	5	73	0	22	2	1	0	0	6	0	0	46	0	4	0
h	10	1	0	0	1	0	0	58	0	0	0	0	77	0	0	0	9	0	8	0	2	12	25	1	0	1	2	0	0	0	131	44	0	0	107	0	1	56	0	512	1	0	9	0	110	2	0	17	9	0	0	0	0	0	0	3	0	0	7	3	0	6	0	14	19	0	0	98	17	0	0	6	5	0	0	0	0	0	0	40	78	4	7	9	0	3	107	0	2	4	23	312	5	4	10	1	0	13	50	0	0	0	0	0	1	549	1198	0	16	36	12	1	19	4	0	0	69	0	6	4	257	863	0	0	3	3	411	3	106	0	0	80	0	6	1	0	0	267	2	2	1	170	672	0	0	7	251	0	48	8	12	0	0	15	0	2	442	0	5	0
